site_id,slug,name_ar,name_en,governorate_ar,locality_ar,site_type_ar,page_category,page_adoption_status,accepted_editorial_record_count,adoptable_source_count,adoptable_source_ids,held_claim_count,coordinate_status,direct_map_use,approved_media_asset_count,media_status,development_status,last_development_update,publication_status,database_import_status
site-4ab7d2100cc2,khrb-twbs-lqdym-4ab7d2,خربة طوباس القديمة,,طوباس,طوباس,خربة,LIMITED_RESEARCH_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,0,0,,4,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-bc56c2f93d66,yn-lfr-bc56c2,عين الفارعة,,طوباس,طوباس,نبع,LIMITED_RESEARCH_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,0,0,,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-a86fc049d470,tl-lsltn-ryh-lqdym-a86fc0,تل السلطان (أريحا القديمة),Tell es-Sultan,أريحا,أريحا,تل أثري,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,3,1,AUTH-UNESCO-JERICHO-001,0,available_for_review,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-cc4465115964,dyr-qrntl-cc4465,دير قرنطل,,أريحا,جبل الأربعين,دير,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,1,W5-AUTH-MOTA-QURUNTAL-001,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-b5f00132ee24,yn-lsltn-b5f001,عين السلطان,,أريحا,أريحا,نبع,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,1,W5-AUTH-UNESCO-JERICHO-001,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-ce23c41d7641,qbr-lnby-mws-ce23c4,قبر النبي موسى,,أريحا,أريحا (الطريق),مقام,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,1,W5-AUTH-MOTA-NABI-MUSA-001,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-0285c869e647,qsr-hshm-khrb-lmfjr-0285c8,قصر هشام (خربة المفجر),Hisham's Palace,أريحا,أريحا,قصر أموي,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,3,1,AUTH-UNESCO-HISHAM-001,0,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-7551f628d089,qn-wdy-lqlt-7551f6,قناة وادي القلط,,أريحا,أريحا,قناة,LIMITED_RESEARCH_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,0,0,,4,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-c4d8c9fdd1f0,mqm-lnby-mws-c4d8c9,مقام النبي موسى,,أريحا,طريق القدس–أريحا,مقام,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,2,W5-AUTH-MOTA-NABI-MUSA-001; W5-AUTH-UNESCO-EL-BARIYAH-001,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-2e45744cdab4,lmsjd-l-mry-lkbyr-2e4574,المسجد العمري الكبير,Great Omari Mosque,غزة,غزة (البلدة القديمة),مسجد,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,2,W3-AUTH-UNESCO-GAZA-HISTORIC-CENTRE-2026; W3-AUTH-UNESCO-GAZA-IMPACT-2026,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-21150eefdea6,tl-l-jwl-mdyn-gz-lqdym-21150e,تل العجول,,غزة,غزة,تل أثري,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,3,W3-AUTH-BM-TELL-AJJUL-COLLECTION; W3-AUTH-UCL-TELL-AJJUL-2021; W3-AUTH-UNESCO-GAZA-IMPACT-2026,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-3ded44be126d,hmm-lsmr-3ded44,حمام السمرة,,غزة,غزة,حمام,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,2,W3-AUTH-UNESCO-GAZA-IMPACT-2026; W3-AUTH-UNESCO-PALESTINE-CULTURAL-REPORT-2023,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-5e98cf44d976,ql-brqwq-5e98cf,قلعة برقوق,,غزة,غزة,قلعة,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,2,W3-AUTH-UNESCO-GAZA-IMPACT-2026; W3-AUTH-UNESCO-PALESTINE-CULTURAL-REPORT-2023,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-e1e3de7b8519,knys-lqdys-brfyryws-e1e3de,كنيسة القديس برفيريوس,,غزة,غزة,كنيسة,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,3,W3-AUTH-JERUSALEM-PATRIARCHATE-PORPHYRIOS; W3-AUTH-UNESCO-GAZA-HISTORIC-CENTRE-2026; W3-AUTH-UNESCO-GAZA-IMPACT-2026,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-015f495c4236,mdyn-gz-lqdym-015f49,مدينة غزة القديمة,Old City of Gaza,غزة,البلدة القديمة,عنقود عمراني تاريخي,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,2,W3-AUTH-UNESCO-GAZA-HISTORIC-CENTRE-2026; W3-AUTH-UNESCO-GAZA-IMPACT-2026,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-a77381cd3cae,mqm-lshykh-rdwn-a77381,مقام الشيخ رضوان,,غزة,غزة,مقام,LIMITED_RESEARCH_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,0,0,,4,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-99f520b3d607,myn-gz-lqdym-l-nt-99f520,ميناء غزة القديم (الأنطة),,غزة,غزة,ميناء,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,2,W3-AUTH-UNESCO-ANTHEDON-2012; W3-AUTH-UNESCO-GAZA-IMPACT-2026,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-0a78d22c1a69,khn-ywns-lqdym-0a78d2,خان يونس القديم,,خان يونس,خان يونس,عنقود عمراني تاريخي مؤقت,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,2,W3-AUTH-UNESCO-GAZA-IMPACT-2026; W3-AUTH-UNESCO-PALESTINE-CULTURAL-REPORT-2023,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-ee0e5bf1f753,rfh-ltrykhy-ee0e5b,رفح التاريخية,Historic Rafah,رفح,رفح,عنقود عمراني تاريخي مؤقت,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,1,W3-AUTH-UNESCO-GAZA-IMPACT-2026,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
